panjivarecordid,arrivaldate,conname,shpname,con_ciqid,shp_ciqid,hs6,hs2,n_hs6,shpmtorigin,weightkg,valueofgoodsusd,unit,relationship
268118537,2024-03-02,Hollingshead Cement Llc,Lafarge Ciment Msila SpA,1939954244,1853086277,382450,38,1,Algeria,49315000.0,687303000.0,13.936996856940079,arms_length
279349435,2024-08-27,Arcelormittal Texas Hbi Llc,Samarco Mineracao SA,1831072168,,761699,76,1,Brazil,102909000.0,686609000.0,6.672001477033107,unmatched
268364817,2024-03-22,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,51266000.0,683632000.0,13.334997854328405,arms_length
284806473,2024-11-02,,Vale SA,,874225,845590,84,1,Brazil,78003000.0,681590000.0,8.737997256515776,unmatched
287064089,2024-11-26,,,,,382219,38,1,Trinidad and Tobago,12000000.0,681132000.0,56.761,unmatched
283659160,2024-10-21,,Vale SA,,874225,845590,84,1,Brazil,77848000.0,680236000.0,8.738002260815948,unmatched
268067188,2024-03-16,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,51000000.0,680085000.0,13.335,arms_length
284137610,2024-10-17,Arcelormittal Texas Hbi Llc,Samarco Mineracao SA,1831072168,,761699,76,1,Brazil,104380000.0,677531000.0,6.4910040237593405,unmatched
267615100,2024-03-08,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,50118000.0,668324000.0,13.33500937786823,arms_length
266970907,2024-02-26,Universal Alloys Inc.,Jsc Pokrovskiy,1805255913,,847989,84,1,Ukraine,44903000.0,666271000.0,14.838006369284903,unmatched
267841311,2024-03-05,Oxbow Calcining Llc,Oxbow Energy Solutions B.V.,242268354,8174191,300490,30,1,Netherlands,13566000.0,664788000.0,49.003980539584255,within_firm
267712901,2024-03-11,Eastern Salt Co. Inc.,North Coast Commodities Ltd.,116787941,,381590,38,1,United Arab Emirates,49800000.0,664083000.0,13.335,unmatched
288442035,2024-12-11,,Samarco Mineracao SA,,,847989,84,1,Brazil,78511000.0,660042000.0,8.40700029295258,unmatched
269392316,2024-04-11,Hollingshead Cement Llc,Lafarge Emirates Cement Llc,1939954244,,382450,38,1,United Arab Emirates,45883000.0,639471000.0,13.936991914216595,unmatched
267502064,2024-03-06,Hollingshead Cement Llc,Lafarge Emirates Cement Llc,1939954244,,382450,38,1,United Arab Emirates,45443000.0,633339000.0,13.936997997491362,unmatched
268719220,2024-03-17,Hollingshead Cement Llc,Lafarge Ciment Msila SpA,1939954244,1853086277,382450,38,1,Algeria,45202400.0,629986000.0,13.937003344955135,arms_length
268722716,2024-03-28,Hollingshead Cement Llc,Lafarge Emirates Cement Llc,1939954244,,382450,38,1,United Arab Emirates,44382000.0,618552000.0,13.937001487089361,unmatched
288166249,2024-12-08,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,47302960.0,615506000.0,13.01199755786953,unmatched
287232426,2024-11-28,Novum Energy Trading Corp.,Novum Energy Trading Corp.,557398736,,847780,84,1,Virgin Islands (British),32272000.0,615137000.0,19.061012642538422,unmatched
287402927,2024-11-24,Dunham Price Group Llc,Tajo Chirripo SA,4567988,,870323,87,1,Costa Rica,44000000.0,614284000.0,13.961,unmatched
284772864,2024-10-31,Valero Marketing And Supply Co.,Pmi Trading Designated Activity Co.,4318170,,847780,84,1,Mexico,31285000.0,612122000.0,19.56599009109797,unmatched
282373948,2024-10-04,Oxbow Calcining Llc,Oxbow Energy Solutions B.V.,242268354,8174191,300490,30,1,Netherlands,15046000.0,608626000.0,40.451016881563206,within_firm
265905567,2024-02-06,Hollingshead Cement Llc,Lafarge Emirates Cement Llc,1939954244,,382450,38,1,United Arab Emirates,43385000.0,604657000.0,13.937005877607469,unmatched
278898988,2024-08-24,Dunham Price Group Llc,Tajo Chirripo SA,4567988,,870323,87,1,Costa Rica,41708000.0,600971000.0,14.409010261820274,unmatched
271802946,2024-05-19,Valenz Corp.,Methanol Holdings (Trinidad) Ltd.,,,382219,38,1,Trinidad and Tobago,10899503.0,594720000.0,54.56395580605831,unmatched
265540697,2024-02-01,Nucor Steel Louisiana Llc,Vale SA,113392951,874225,843139,84,1,Brazil,78634000.0,591878000.0,7.52699849937686,arms_length
266262127,2024-02-14,Nucor Steel Louisiana Llc,Vale SA,113392951,874225,843139,84,1,Brazil,78310000.0,589439000.0,7.526995275188354,arms_length
275869285,2024-07-15,,,,,382219,38,1,Trinidad and Tobago,10500000.0,584262000.0,55.644,unmatched
265735856,2024-02-02,,,,,382219,38,1,Trinidad and Tobago,14858000.0,584217000.0,39.320029613676134,unmatched
264122814,2024-01-06,Nucor Steel Louisiana Llc,Vale SA,113392951,874225,843139,84,1,Brazil,77566000.0,583839000.0,7.526996364386458,arms_length
287356142,2024-11-29,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,45050060.0,579884000.0,12.871991735416113,unmatched
276047804,2024-07-16,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,46304476.0,577232000.0,12.466008685639807,unmatched
282918902,2024-10-12,Vulcan Construction Material Llc,Cemex Materials Newfoundland Inc.,4161667,,841360,84,1,United States,49921000.0,575340000.0,11.525009515033753,unmatched
285612743,2024-11-09,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,44690240.0,575253000.0,12.872005162648488,unmatched
289801355,2024-12-26,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,44104164.0,573883000.0,13.011991339411852,unmatched
